freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,CZ006C	99489 	99809 	100154 d	100378 	100494 	: 	100663 d	: 	: 	: 
A,DE1001V,CZ007C	102301 	102562 	103288 d	103853 	103979 	: 	104802 d	: 	: 	: 
A,DE1001V,CZ008C	93253 	93285 	93513 d	93470 	93863 	: 	94463 d	: 	: 	: 
A,DE1001V,CZ009C	92904 	92808 	92891 d	92929 	92917 	: 	92939 d	: 	: 	: 
A,DE1001V,CZ010C	89432 	89693 	89638 d	90044 	90335 	: 	91727 d	: 	: 	: 
A,DE1001V,CZ011C	75278 	75112 	75171 d	75117 	74947 	: 	74935 d	: 	: 	: 
A,DE1001V,CZ012C	68519 	68552 	68466 d	68660 	68804 	: 	69337 d	: 	: 	: 
A,DE1001V,CZ013C	49864 	49781 	49326 d	49046 	48776 	: 	48479 d	: 	: 	: 
A,DE1001V,CZ014C	50510 	50521 	50714 d	50559 	50724 	: 	51216 d	: 	: 	: 
A,DE1001V,CZ015C	76109 	75049 	74101 d	73274 	72382 	: 	71200 d	: 	: 	: 
A,DE1001V,CZ016C	67332 	67089 	67002 d	66768 	66644 	: 	66034 d	: 	: 	: 
A,DE1001V,CZ017C	56848 	55985 	55163 d	54413 	53522 	: 	52128 d	: 	: 	: 
A,DE1001V,CZ018C	69214 	68842 	68545 d	68334 	68132 	: 	67876 d	: 	: 	: 
A,DE1001V,DE	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	: 	: 	83155031 	: 
A,DE1001V,DE001C	3375222 	3421829 	3469849 	3520031 	3574830 	3613495 	3644826 	3669491 	3664088 	: 
A,DE1001V,DE002C	1734272 	1746342 	1762791 	1787408 	1810438 	1830584 	1841179 	1847253 	1852478 	: 
A,DE1001V,DE003C	1388308 	1407836 	1429584 	1450381 	1464301 	1456039 	1471508 	1484226 	1488202 	: 
A,DE1001V,DE004C	1024373 	1034175 	1046680 	1060582 	1075935 	1080394 	1085664 	1087863 	1083498 	: 
A,DE1001V,DE005C	687775 	701350 	717624 	732688 	736414 	746878 	753056 	763380 	764104 	: 
A,DE1001V,DE006C	566862 	569884 	573784 	582624 	583084 	583393 	583109 	582760 	582415 	: 
A,DE1001V,DE007C	597939 	604297 	612441 	623738 	628032 	632743 	634830 	635911 	630305 	: 
A,DE1001V,DE008C	520838 	531562 	544479 	560472 	571088 	581980 	587857 	593145 	597493 	: 
A,DE1001V,DE009C	525105 	530754 	536308 	543825 	547172 	551072 	554649 	556780 	556227 	: 
A,DE1001V,DE010C	572087 	575944 	580511 	586181 	585813 	586600 	587010 	588250 	587696 	: 
A,DE1001V,DE011C	593682 	598686 	604527 	612178 	613230 	617280 	619294 	621877 	620523 	: 
A,DE1001V,DE012C	546451 	548547 	551767 	557464 	565719 	568006 	569352 	567559 	566573 	: 
A,DE1001V,DE013C	514137 	518386 	523642 	532163 	532864 	535061 	538068 	536925 	534049 	: 
A,DE1001V,DE014C	495121 	498876 	501072 	509975 	511628 	515201 	518365 	518370 	515543 	: 
A,DE1001V,DE015C	362213 	361734 	361876 	364742 	364920 	365529 	364628 	365587 	364454 	: 
A,DE1001V,DE016C	328314 	328864 	329782 	333090 	333451 	332552 	333786 	334195 	333509 	: 
A,DE1001V,DE017C	231440 	231565 	232470 	236991 	238005 	239173 	239257 	238762 	237865 	: 
A,DE1001V,DE018C	229924 	231021 	232306 	235723 	238136 	238478 	238697 	237565 	235775 	: 
A,DE1001V,DE019C	272636 	273871 	275116 	276218 	277619 	278654 	278342 	278474 	278609 	: 
A,DE1001V,DE020C	116650 	116891 	117665 	118914 	119177 	119529 	119801 	118911 	116845 	: 
A,DE1001V,DE021C	166654 	166640 	167108 	169278 	170936 	171265 	170880 	170632 	170921 	: 
A,DE1001V,DE022C	103504 	103108 	102923 	104529 	103881 	103949 	103725 	103902 	103487 	: 
A,DE1001V,DE023C	147925 	149743 	151879 	155353 	157437 	158254 	159207 	159878 	159174 	: 
A,DE1001V,DE024C	106544 	107233 	108472 	114914 	110111 	110013 	110636 	111528 	110674 	: 
A,DE1001V,DE025C	218043 	220286 	222203 	226393 	227590 	229636 	230241 	231195 	230940 	: 
A,DE1001V,DE026C	138296 	140276 	142292 	145465 	148638 	150894 	152610 	153094 	152270 	: 
A,DE1001V,DE027C	58537 	58018 	57649 	58092 	58193 	58237 	57873 	57751 	57015 	: 
A,DE1001V,DE028C	63236 	63315 	63477 	64131 	64355 	64426 	65090 	65228 	65098 	: 
A,DE1001V,DE029C	91264 	91583 	92138 	96800 	95668 	95797 	95818 	95653 	95609 	: 
A,DE1001V,DE030C	203485 	204880 	206219 	210118 	211113 	212988 	213699 	213981 	213692 	: 
A,DE1001V,DE031C	272699 	276542 	281111 	286374 	289584 	292851 	295135 	296582 	295830 	: 
A,DE1001V,DE032C	309869 	311287 	313958 	318809 	322125 	325490 	327258 	329673 	330579 	: 
A,DE1001V,DE033C	296033 	299103 	300051 	307755 	309999 	311919 	313092 	312060 	308436 	: 
A,DE1001V,DE034C	255087 	255430 	256853 	259996 	260925 	262188 	261454 	261034 	259665 	: 
A,DE1001V,DE035C	202756 	204268 	206991 	209779 	213528 	215110 	217118 	218578 	217123 	: 
A,DE1001V,DE036C	239866 	241533 	243148 	246306 	247441 	247943 	247548 	246794 	246601 	: 
A,DE1001V,DE037C	176996 	177201 	176926 	178151 	179709 	180966 	180741 	180374 	179349 	: 
A,DE1001V,DE038C	159456 	161468 	164042 	167745 	171810 	175710 	178089 	180334 	182112 	: 
A,DE1001V,DE039C	109779 	110643 	111434 	112586 	113605 	113844 	114024 	114052 	113388 	: 
A,DE1001V,DE040C	202887 	203431 	204167 	206011 	207513 	208409 	208886 	209191 	209061 	: 
A,DE1001V,DE041C	97112 	97162 	97382 	98520 	99302 	99684 	99845 	100030 	99662 	: 
A,DE1001V,DE042C	93799 	93119 	92899 	93537 	93197 	92928 	92666 	92174 	91815 	: 
A,DE1001V,DE043C	88295 	89242 	90378 	91271 	92186 	93004 	93542 	94145 	92722 	: 
A,DE1001V,DE044C	88834 	89907 	90934 	92643 	95370 	96130 	96023 	96492 	97137 	: 
A,DE1001V,DE045C	76545 	75728 	75534 	75995 	76201 	76316 	76278 	76089 	75189 	: 
A,DE1001V,DE046C	88200 	89639 	91116 	92973 	93035 	93593 	93499 	93584 	93358 	: 
A,DE1001V,DE047C	84496 	85383 	85871 	87464 	88347 	89447 	90546 	91506 	91077 	: 
