freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,ES052C	69389 	67353 	67492 	67786 	67701 	68262 	68661 	69166 	: 	: 
A,DE1001V,ES053C	61113 	61195 	61481 	61608 	61855 	61983 	62401 	62910 	: 	: 
A,DE1001V,ES054C	59753 	59930 	60101 	60174 	60695 	60981 	61275 	62419 	: 	: 
A,DE1001V,ES055C	55673 	56880 	56940 	58537 	59771 	61351 	62988 	64645 	: 	: 
A,DE1001V,ES056C	: 	: 	87834 	87278 	87153 	86883 	86894 	87054 	: 	: 
A,DE1001V,ES057C	68506 	68544 	69069 	69178 	70396 	71863 	73328 	74602 	: 	: 
A,DE1001V,ES058C	51954 	51719 	51650 	51491 	51128 	51133 	51318 	51600 	: 	: 
A,DE1001V,ES059C	: 	: 	398707 	399562 	398847 	399456 	401574 	404809 	: 	: 
A,DE1001V,ES060C	230224 	228647 	227312 	227659 	228675 	230625 	232517 	234765 	: 	: 
A,DE1001V,ES061C	217641 	216451 	216301 	214759 	214177 	213943 	214802 	216108 	: 	: 
A,DE1001V,ES062C	211670 	212226 	212876 	212830 	212915 	212879 	212749 	213105 	: 	: 
A,DE1001V,ES063C	186500 	186126 	186095 	186064 	186370 	186665 	187415 	188240 	: 	: 
A,DE1001V,ES064C	204823 	200768 	198750 	195907 	194310 	193751 	195649 	197562 	: 	: 
A,DE1001V,ES065C	192697 	193351 	194203 	194515 	195389 	196851 	198533 	201322 	: 	: 
A,DE1001V,ES066C	179097 	177776 	177100 	176608 	175623 	175921 	175821 	176418 	: 	: 
A,DE1001V,ES067C	149528 	148042 	146438 	144949 	144436 	143978 	144228 	144825 	: 	: 
A,DE1001V,ES068C	172693 	172487 	172121 	172426 	172816 	173050 	173329 	174336 	: 	: 
A,DE1001V,ES069C	180185 	173841 	171669 	170990 	169498 	170888 	171728 	174264 	: 	: 
A,DE1001V,ES070C	148101 	147212 	146318 	145468 	145115 	144258 	143663 	143837 	: 	: 
A,DE1001V,ES071C	122990 	121739 	120468 	118919 	118048 	116979 	116027 	115439 	: 	: 
A,DE1001V,ES072C	130601 	129551 	127817 	126192 	125317 	124772 	124303 	124028 	: 	: 
A,DE1001V,ES073C	133545 	132199 	131255 	131094 	131507 	132299 	134515 	136496 	: 	: 
A,DE1001V,ES074C	116176 	115837 	115395 	114658 	114238 	113457 	112999 	112757 	: 	: 
A,DE1001V,ES075C	139809 	139176 	138542 	138144 	137327 	137856 	138956 	140403 	: 	: 
A,DE1001V,ES076C	107542 	106905 	106231 	105893 	105636 	105505 	105233 	105643 	: 	: 
A,DE1001V,ES077C	124099 	124280 	124867 	125517 	126127 	126988 	128265 	129661 	: 	: 
A,DE1001V,ES078C	129719 	130369 	131317 	131855 	132551 	133168 	133968 	135050 	: 	: 
A,DE1001V,ES079C	114277 	117974 	118920 	120601 	121133 	121414 	121957 	123078 	: 	: 
A,DE1001V,ES080C	142018 	138679 	139537 	140744 	141172 	141463 	143386 	147633 	: 	: 
A,DE1001V,ES081C	123761 	126878 	126934 	126981 	128013 	129729 	131376 	132853 	: 	: 
A,DE1001V,ES082C	: 	: 	74845 	75080 	75106 	75256 	75279 	75533 	: 	: 
A,DE1001V,ES083C	: 	: 	59567 	59198 	59106 	58977 	58994 	59354 	: 	: 
A,DE1001V,ES084C	: 	: 	58358 	58083 	58149 	57657 	57744 	58369 	: 	: 
A,DE1001V,ES085C	: 	: 	66598 	67245 	68859 	67746 	68128 	69144 	: 	: 
A,DE1001V,ES086C	: 	: 	82777 	82645 	83148 	83831 	84489 	85150 	: 	: 
A,DE1001V,ES087C	: 	: 	62056 	61597 	62152 	63074 	63679 	64378 	: 	: 
A,DE1001V,ES088C	: 	: 	55428 	55102 	54876 	54898 	54690 	54621 	: 	: 
A,DE1001V,ES089C	: 	: 	49975 	49549 	49689 	49727 	49783 	51128 	: 	: 
A,DE1001V,ES090C	: 	: 	59737 	58829 	58449 	57811 	57414 	57353 	: 	: 
A,DE1001V,ES091C	: 	: 	91714 	91730 	92299 	93079 	94404 	95515 	: 	: 
A,DE1001V,ES092C	: 	: 	58971 	59174 	59187 	59352 	59335 	59548 	: 	: 
A,DE1001V,ES093C	: 	: 	64944 	64439 	65278 	65669 	66140 	67173 	: 	: 
A,DE1001V,ES094C	: 	: 	53496 	52819 	52034 	51687 	51494 	51597 	: 	: 
A,DE1001V,ES095C	: 	: 	72854 	72988 	73976 	74745 	75983 	77270 	: 	: 
A,DE1001V,ES096C	: 	: 	65688 	65646 	66254 	66888 	66870 	67219 	: 	: 
A,DE1001V,ES097C	: 	: 	60851 	61007 	61396 	61775 	62405 	63563 	: 	: 
A,DE1001V,ES098C	: 	: 	56302 	56715 	57175 	57785 	58385 	58978 	: 	: 
A,DE1001V,FI	5426674 	5451270 	5471753 	5487308 	5503297 	5513130 	: 	: 	: 	: 
A,DE1001V,FI001C	603968 	612664 	620715 	628208 	635181 	643272 	648042 	653835 	656920 	658457 
A,DE1001V,FI002C	217421 	220446 	223004 	225118 	228274 	231853 	235239 	238140 	241009 	244223 
A,DE1001V,FI003C	180225 	182072 	183824 	185908 	187604 	189669 	191331 	192962 	194391 	195137 
A,DE1001V,FI004C	190847 	193798 	196291 	198525 	200526 	201810 	203567 	205489 	207327 	209551 
A,DE1001V,FI005C	256824 	260753 	265543 	269802 	274583 	279044 	283632 	289731 	292796 	297132 
A,DE1001V,FI006C	205312 	208098 	210803 	214605 	219341 	223027 	228166 	233775 	237231 	239206 
A,DE1001V,FI007C	103016 	103364 	103754 	118743 	119452 	119573 	119951 	119823 	119984 	120027 
A,DE1001V,FI008C	105136 	106342 	111289 	112117 	117740 	118209 	118664 	119282 	120210 	121543 
A,DE1001V,FI009C	133482 	134658 	135780 	137368 	138850 	140188 	141305 	142400 	143420 	144473 
A,DE1001V,FR	65564756 	65907160 	66190280 	66361587 	66780857 	66732538 	66988403 	: 	: 	: 
A,DE1001V,FR001C	10040889 	10096326 	10138695 	10163539 	10211741 	10240964 	10277625 	: 	: 	: 
A,DE1001V,FR002C	1208692 	1224988 	1240187 	1250076 	1253324 	1265618 	1277584 	: 	: 	: 
A,DE1001V,FR003C	938024 	942910 	943913 	946093 	948173 	951461 	955906 	: 	: 	: 
A,DE1001V,FR004C	949638 	952379 	955947 	956373 	959095 	965330 	969002 	: 	: 	: 
A,DE1001V,FR005C	689396 	699539 	710844 	718955 	726869 	735143 	747512 	: 	: 	: 
A,DE1001V,FR006C	687793 	699210 	707770 	714730 	722044 	732645 	744104 	: 	: 	: 
A,DE1001V,FR007C	448526 	455665 	464057 	469931 	474119 	481097 	487928 	: 	: 	: 
A,DE1001V,FR008C	453437 	455438 	455783 	456377 	455205 	457360 	461144 	: 	: 	: 
A,DE1001V,FR009C	408873 	410143 	412549 	415771 	417255 	422967 	427197 	: 	: 	: 
A,DE1001V,FR010C	326166 	327781 	327012 	326875 	326493 	328660 	329517 	: 	: 	: 
A,DE1001V,FR011C	330184 	335587 	339669 	344636 	349924 	356972 	364723 	: 	: 	: 
A,DE1001V,FR012C	364286 	365155 	365947 	363423 	364672 	364642 	365556 	: 	: 	: 
A,DE1001V,FR013C	240199 	241933 	241944 	242605 	242529 	243507 	245109 	: 	: 	: 
A,DE1001V,FR014C	241297 	240927 	239057 	238348 	237462 	237259 	239232 	: 	: 	: 
A,DE1001V,FR015C	221595 	223564 	226090 	228672 	231212 	235638 	238614 	: 	: 	: 
A,DE1001V,FR016C	259339 	262761 	265188 	266456 	267502 	268796 	271686 	: 	: 	: 
A,DE1001V,FR017C	208625 	209270 	210614 	210007 	209507 	209334 	208432 	: 	: 	: 
A,DE1001V,FR018C	233892 	236038 	237408 	238030 	241324 	241940 	242985 	: 	: 	: 
A,DE1001V,FR019C	221034 	221499 	222756 	222884 	223171 	223744 	224207 	: 	: 	: 
A,DE1001V,FR020C	194507 	195500 	196698 	196872 	198870 	199131 	200086 	: 	: 	: 
A,DE1001V,FR021C	184527 	184667 	184903 	185927 	186558 	189987 	191068 	: 	: 	: 
A,DE1001V,FR022C	196970 	197501 	197314 	195317 	195042 	194639 	193080 	: 	: 	: 
A,DE1001V,FR023C	206875 	205365 	205576 	206253 	206789 	207431 	208268 	: 	: 	: 
A,DE1001V,FR024C	197411 	199543 	200974 	201247 	203184 	205346 	207283 	: 	: 	: 
A,DE1001V,FR025C	207177 	206313 	206002 	205046 	205643 	205893 	205684 	: 	: 	: 
A,DE1001V,FR026C	204372 	204984 	204330 	202890 	202653 	202708 	202114 	: 	: 	: 
A,DE1001V,FR027C	165096 	164250 	163977 	165480 	164254 	164161 	166227 	: 	: 	: 
A,DE1001V,FR028C	150564 	151075 	150672 	151001 	150610 	149633 	148561 	: 	: 	: 
A,DE1001V,FR029C	151821 	151333 	150789 	150438 	150369 	150852 	151626 	: 	: 	: 
A,DE1001V,FR030C	142442 	144642 	146985 	147920 	147931 	150535 	153810 	: 	: 	: 
A,DE1001V,FR031C	178031 	178454 	179157 	179204 	179701 	179523 	180300 	: 	: 	: 
A,DE1001V,FR032C	145658 	145311 	144558 	143643 	143147 	142453 	141776 	: 	: 	: 
A,DE1001V,FR033C	141545 	142149 	142668 	143006 	142482 	143097 	145133 	: 	: 	: 
A,DE1001V,FR034C	139386 	139384 	139163 	139342 	140064 	139602 	139926 	: 	: 	: 
A,DE1001V,FR035C	146160 	145783 	146182 	147246 	147662 	147584 	148506 	: 	: 	: 
A,DE1001V,FR036C	145575 	146431 	146066 	144771 	143614 	142731 	141779 	: 	: 	: 
A,DE1001V,FR037C	142382 	142213 	143422 	143537 	141922 	141120 	141364 	: 	: 	: 
A,DE1001V,FR038C	121809 	124376 	125694 	126419 	126924 	128199 	130721 	: 	: 	: 
A,DE1001V,FR039C	116952 	116690 	116676 	116466 	115934 	116775 	117912 	: 	: 	: 
A,DE1001V,FR040C	119506 	119417 	120338 	122229 	123911 	125036 	126027 	: 	: 	: 
A,DE1001V,FR041C	114957 	114290 	114410 	114603 	113370 	113249 	114468 	: 	: 	: 
A,DE1001V,FR042C	110254 	110583 	110180 	110214 	110402 	109721 	109229 	: 	: 	: 
A,DE1001V,FR043C	135843 	137944 	137847 	138518 	137815 	137645 	137662 	: 	: 	: 
A,DE1001V,FR044C	109216 	110201 	110959 	111000 	112114 	112142 	112189 	: 	: 	: 
A,DE1001V,FR045C	126850 	127781 	128295 	127711 	127512 	127729 	127241 	: 	: 	: 
A,DE1001V,FR046C	144136 	143522 	142450 	141100 	139847 	138554 	136219 	: 	: 	: 
A,DE1001V,FR047C	97401 	97391 	97914 	97969 	98314 	98707 	99272 	: 	: 	: 
A,DE1001V,FR048C	92036 	92582 	93415 	93604 	94650 	95375 	95297 	: 	: 	: 
A,DE1001V,FR049C	87044 	88078 	88193 	88390 	87714 	89419 	90485 	: 	: 	: 
A,DE1001V,FR050C	110677 	112012 	112603 	113135 	113584 	114246 	115103 	: 	: 	: 
A,DE1001V,FR051C	87286 	86948 	86887 	86308 	87601 	87977 	88052 	: 	: 	: 
A,DE1001V,FR052C	87858 	87204 	86391 	85859 	86074 	85772 	85520 	: 	: 	: 
A,DE1001V,FR053C	94649 	95357 	95542 	96069 	96100 	96734 	97821 	: 	: 	: 
A,DE1001V,FR054C	90444 	91018 	91320 	91542 	91508 	92449 	93550 	: 	: 	: 
A,DE1001V,FR055C	79835 	79527 	79662 	79673 	79877 	80110 	80370 	: 	: 	: 
A,DE1001V,FR056C	80978 	80959 	80616 	80076 	79200 	79144 	78549 	: 	: 	: 
A,DE1001V,FR057C	74811 	75701 	75999 	76493 	77177 	77599 	78308 	: 	: 	: 
A,DE1001V,FR058C	76277 	76451 	77071 	76677 	75990 	75752 	75831 	: 	: 	: 
A,DE1001V,FR059C	72289 	73717 	74782 	75115 	75375 	75999 	77028 	: 	: 	: 
A,DE1001V,FR060C	77882 	77375 	76806 	75960 	74740 	74622 	73836 	: 	: 	: 
A,DE1001V,FR061C	72520 	76402 	75961 	74978 	73911 	72929 	72509 	: 	: 	: 
A,DE1001V,FR062C	: 	: 	: 	: 	71437 	: 	: 	: 	: 	: 
A,DE1001V,FR063C	72563 	71683 	71730 	71510 	71702 	72165 	72415 	: 	: 	: 
A,DE1001V,FR064C	65299 	65726 	65463 	65723 	65824 	66328 	66432 	: 	: 	: 
A,DE1001V,FR065C	67956 	68784 	70284 	69899 	69105 	68703 	68682 	: 	: 	: 
A,DE1001V,FR066C	65112 	66236 	66493 	65465 	64704 	64989 	65225 	: 	: 	: 
A,DE1001V,FR067C	62751 	62515 	62933 	63754 	64643 	65502 	65948 	: 	: 	: 
A,DE1001V,FR068C	67189 	66528 	66071 	65555 	64551 	64668 	64541 	: 	: 	: 
A,DE1001V,FR069C	72499 	72366 	72412 	72489 	72042 	71882 	71248 	: 	: 	: 
A,DE1001V,FR070C	63532 	63513 	63508 	63405 	62985 	63166 	63283 	: 	: 	: 
A,DE1001V,FR071C	65538 	65144 	64947 	64326 	62945 	62178 	61643 	: 	: 	: 
A,DE1001V,FR072C	54709 	55817 	57614 	60580 	61268 	63652 	65493 	: 	: 	: 
A,DE1001V,FR073C	66491 	66759 	66548 	66903 	66856 	66983 	67335 	: 	: 	: 
A,DE1001V,FR074C	52656 	52803 	53524 	53220 	53365 	53589 	53120 	: 	: 	: 
A,DE1001V,FR075C	53032 	53036 	53200 	53218 	53352 	53438 	53719 	: 	: 	: 
A,DE1001V,FR076C	60427 	61197 	61580 	61104 	61518 	61856 	61841 	: 	: 	: 
A,DE1001V,FR077C	34150 	34716 	35090 	35544 	36119 	36637 	37464 	: 	: 	: 
A,DE1001V,HR001C	791946 	793049 	799999 	801349 	802701 	804049 	805413 	806772 	808134 e	: 
A,DE1001V,HR002C	126215 	124838 	123725 	121975 	120250 	118549 	116872 	115219 	113589 e	: 
A,DE1001V,HR003C	58265 	57764 	57797 	56769 	55759 	54767 	53793 	52836 	51896 e	: 
A,DE1001V,HR004C	106964 	106345 	106610 	105921 	105236 	104556 	103880 	103209 	102542 e	: 
A,DE1001V,HR005C	176352 	175353 	174333 	173109 	171894 	170687 	169489 	168299 	167117 e	: 
A,DE1001V,HR006C	: 	: 	56676 	56540 	56404 	56269 	56134 	55999 	55865 e	: 
A,DE1001V,HR007C	: 	: 	75537 	75346 	75155 	74965 	74775 	74586 	74399 e	: 
A,DE1001V,HU	9908798 	9877365 	9855571 	9830485 	9797561 	9778371 	: 	: 	: 	: 
A,DE1001V,HU001C	1735711 	1744665 	1757618 	1759407 	1752704 	1749734 	1752286 	1750216 	1723836 	: 
A,DE1001V,HU002C	162905 	161265 	159554 	158101 	157177 	155650 	154521 	152901 	150695 	: 
A,DE1001V,HU003C	118185 	118164 	118125 	118058 	117689 	117121 	116799 	116814 	116554 	: 
A,DE1001V,HU004C	147719 	146581 	145985 	145347 	144675 	144188 	142873 	141843 	140237 	: 
A,DE1001V,HU005C	204333 	203914 	203506 	203059 	201981 	202214 	201432 	201112 	200974 	: 
A,DE1001V,HU006C	161837 	161921 	162593 	162621 	161137 	161122 	160766 	160258 	159074 	: 
A,DE1001V,HU007C	128567 	128902 	129372 	129568 	129301 	130094 	132038 	133946 	132735 	: 
A,DE1001V,HU008C	111863 	112071 	111836 	111724 	110813 	110638 	110687 	110373 	109651 	: 
A,DE1001V,HU009C	99247 	99060 	98673 	98207 	97617 	97382 	96940 	96529 	95545 	: 
A,DE1001V,HU010C	77547 	77566 	77866 	77973 	78025 	77984 	78407 	78591 	78324 	: 
A,DE1001V,HU011C	: 	: 	72786 	72333 	71765 	71521 	71285 	70554 	69725 	: 
A,DE1001V,HU012C	: 	: 	66791 	66362 	65849 	65633 	65845 	66141 	65145 	: 
A,DE1001V,HU013C	: 	: 	60761 	60392 	59919 	59754 	59738 	59119 	58153 	: 
A,DE1001V,HU014C	: 	: 	60334 	60126 	59732 	59357 	58996 	58654 	58002 	: 
A,DE1001V,HU015C	: 	: 	63742 	63186 	62446 	61920 	61441 	60656 	59777 	: 
A,DE1001V,HU016C	: 	: 	54609 	54480 	53876 	53436 	52898 	51894 	51168 	: 
A,DE1001V,HU017C	: 	: 	46052 	45354 	44640 	44358 	44200 	43310 	42136 	: 
A,DE1001V,HU018C	: 	: 	58959 	58829 	58154 	57780 	57403 	56722 	55470 	: 
A,DE1001V,HU019C	: 	: 	61780 	61887 	62246 	62454 	62671 	63065 	62900 	: 
A,DE1001V,IE001C	1262400 	1274600 	1305300 	1325700 	: 	: 	: 	: 	: 	: 
A,DE1001V,IT	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	59816673 b	59641488 	59236213 	59030133 
A,DE1001V,IT001C	2638842 	2863322 	2872021 	2864731 	2873494 	2872800 	2820219 b	2808293 	2770226 	2749031 
A,DE1001V,IT002C	3925767 	4038864 	4061382 	4074585 	4087060 	4106356 	3606653 b	3622641 	3594765 	3565691 
A,DE1001V,IT003C	3055339 	3127390 	3118149 	3113898 	3107006 	3101002 	2867858 b	2855958 	2812310 	2816448 
A,DE1001V,IT004C	872091 	902137 	896773 	890529 	886837 	882523 	860793 b	857910 	858205 	848748 
A,DE1001V,IT005C	654987 	678492 	678492 	674435 	673735 	668405 	652720 b	647422 	637885 	635439 
A,DE1001V,IT006C	582320 	596958 	592507 	586655 	583601 	580097 	569184 b	565752 	566410 	561203 
A,DE1001V,IT007C	366039 	377207 	381037 	382808 	382258 	380948 	369885 b	366927 	368419 	361619 
A,DE1001V,IT008C	313213 	322751 	327361 	326344 	324198 	323370 	316491 b	315284 	317205 	315948 
A,DE1001V,IT009C	380635 	384202 	386181 	386663 	388367 	389261 	393248 b	395416 	391686 	387842 
A,DE1001V,IT010C	290678 	315576 	315601 	314555 	313396 	311620 	297752 b	296266 	300356 	301104 
A,DE1001V,IT011C	259263 	264534 	264579 	263352 	261905 	261321 	259961 b	258685 	256083 	251944 
A,DE1001V,IT012C	253409 	259966 	260125 	258765 	257353 	257275 	258584 b	259087 	258031 	255985 
A,DE1001V,IT013C	72137 	71184 	71657 	71901 	71924 	72077 	72274 b	72399 	71223 	70841 
A,DE1001V,IT014C	115540 	117285 	117304 	117317 	117417 	117997 	119616 b	120641 	118879 	117847 
A,DE1001V,IT015C	201148 	204849 	205413 	204420 	204234 	204338 	202351 b	201613 	200609 	199015 
A,DE1001V,IT016C	162986 	166030 	165668 	166134 	166676 	165683 	164768 b	164880 	164721 	162362 
A,DE1001V,IT017C	100343 	101742 	101518 	100861 	100696 	100924 	99307 b	99077 	99273 	98402 
A,DE1001V,IT018C	117091 	121325 	121366 	121014 	120420 	119217 	120463 b	119862 	118766 	118992 
A,DE1001V,IT019C	48487 	49392 	49434 	49431 	49320 	49262 	48675 b	48337 	47535 	47587 
A,DE1001V,IT020C	74868 	77099 	76887 	76326 	76126 	75561 	74757 b	73984 	72813 	73037 
A,DE1001V,IT021C	198728 	203257 	202016 	201100 	199561 	198283 	192775 b	191050 	190717 	189461 
A,DE1001V,IT022C	66405 	67403 	67348 	67122 	67168 	67211 	66734 b	66393 	65420 	64850 
A,DE1001V,IT023C	89062 	91028 	90840 	90612 	90240 	89718 	88085 b	87397 	86183 	85609 
A,DE1001V,IT024C	180686 	184937 	183974 	183035 	182551 	181447 	176299 b	174885 	173026 	172479 
A,DE1001V,IT025C	125672 	127715 	127625 	127525 	127533 	126769 	125998 b	125273 	122506 	122159 
A,DE1001V,IT026C	149575 	154019 	154478 	154460 	154083 	154106 	151504 b	151005 	149572 	149092 
A,DE1001V,IT027C	207245 	209678 	211210 	210401 	209829 	210440 	209995 b	210077 	209730 	206651 
A,DE1001V,IT028C	188520 	193599 	196058 	196480 	196670 	196745 	196134 b	196340 	197304 	195906 
A,DE1001V,IT029C	179353 	184525 	185148 	184973 	184727 	185273 	189016 b	189013 	186414 	184971 
A,DE1001V,IT030C	148573 	153143 	152770 	151991 	151726 	151372 	150652 b	149673 	147467 	146803 
A,DE1001V,IT031C	131925 	133885 	135603 	135261 	134850 	133970 	132364 b	131556 	129206 	128136 
A,DE1001V,IT032C	100843 	102404 	102269 	102191 	102355 	103082 	103904 b	104260 	102731 	102364 
A,DE1001V,IT033C	103891 	105713 	106110 	106441 	106951 	107317 	107595 b	107843 	107467 	106601 
A,DE1001V,IT034C	98780 	99528 	99473 	99169 	99341 	99518 	100467 b	100170 	98156 	97736 
A,DE1001V,IT035C	92439 	94535 	93990 	93959 	93678 	93311 	92737 b	92550 	92441 	92169 
A,DE1001V,IT036C	89598 	93302 	94148 	94773 	94989 	95441 	93484 b	93865 	95037 	94783 
A,DE1001V,IT037C	94681 	94903 	94971 	94814 	94673 	94477 	93435 b	93275 	92787 	92798 
A,DE1001V,IT038C	94615 	94705 	94604 	94582 	94813 	94958 	94896 b	95152 	95950 	95670 
A,DE1001V,IT039C	83422 	84834 	84687 	84495 	84326 	83320 	85979 b	85543 	84250 	83361 
A,DE1001V,IT040C	86263 	88627 	89523 	89158 	90488 	90118 	90096 b	90036 	89969 	89002 
A,DE1001V,IT041C	82462 	83145 	83652 	83731 	83950 	84954 	85236 b	85456 	84837 	84452 
A,DE1001V,IT042C	79333 	80927 	80857 	80799 	80694 	80544 	80876 b	80724 	79350 	78740 
A,DE1001V,IT043C	74320 	76135 	76673 	76202 	76164 	76211 	75591 b	75051 	74065 	73723 
A,DE1001V,IT044C	68313 	71297 	72205 	72576 	72612 	72773 	71943 b	71882 	71122 	70380 
A,DE1001V,IT045C	69022 	70202 	69836 	69479 	69226 	69037 	67995 b	67579 	66977 	66498 
A,DE1001V,IT046C	69065 	67910 	67679 	67546 	67563 	67239 	66102 b	65623 	64070 	64073 
A,DE1001V,IT047C	60760 	61761 	61529 	61345 	61057 	60632 	59924 b	59439 	58949 	58534 
A,DE1001V,IT048C	60009 	60556 	60524 	60436 	60351 	60403 	60540 b	60530 	59794 	59748 
A,DE1001V,IT049C	51402 	52792 	52703 	52622 	52574 	52269 	51361 b	51176 	50627 	50735 
A,DE1001V,IT050C	54706 	55448 	55171 	54857 	54561 	54353 	53762 b	53346 	52819 	52498 
A,DE1001V,IT051C	51378 	51758 	51632 	51229 	51139 	51127 	51557 b	51733 	51403 	51617 
A,DE1001V,IT052C	47240 	48131 	48141 	47999 	48131 	48177 	48265 b	48058 	47454 	46831 
A,DE1001V,IT053C	69901 	70171 	70347 	70396 	70595 	70514 	70008 b	69999 	69911 	69855 
A,DE1001V,IT054C	56085 	56043 	55644 	55540 	55354 	55127 	52861 b	52546 	53457 	53396 
A,DE1001V,IT055C	60338 	60397 	60058 	59874 	59623 	59470 	58389 b	58145 	57891 	57645 
A,DE1001V,IT056C	50513 	50812 	50868 	50786 	50883 	51005 	50646 b	50411 	49805 	49655 
A,DE1001V,IT057C	54877 	55424 	55517 	55422 	55390 	55385 	54706 b	54629 	53934 	53738 
A,DE1001V,IT058C	67408 	69530 	70419 	70699 	71060 	71148 	72128 b	72369 	71730 	71402 
A,DE1001V,IT059C	56816 	58063 	58295 	58396 	58517 	58540 	55428 b	55324 	57223 	57127 
A,DE1001V,IT060C	75618 	76826 	76723 	75827 	75458 	74858 	72890 b	72187 	72491 	71937 
A,DE1001V,IT061C	54271 	55854 	55615 	55387 	55373 	55047 	53714 b	53409 	53025 	53221 
A,DE1001V,IT062C	50789 	53557 	53986 	54211 	54311 	54710 	51666 b	52335 	57838 	58593 
A,DE1001V,IT063C	39888 	41126 	41064 	40853 	40813 	40826 	40373 b	40278 	40722 	40469 
A,DE1001V,IT064C	242267 	241997 	240414 	238439 	236962 	234293 	229280 b	227424 	222329 	221246 
A,DE1001V,IT065C	187159 	191268 	191002 	191150 	192469 	193325 	193723 b	194223 	201410 	195213 
A,DE1001V,IT066C	177714 	187938 	190284 	192836 	194417 	195687 	198606 b	200455 	195998 	195436 
A,DE1001V,IT067C	156998 	160512 	159542 	159219 	158916 	158371 	157457 b	157017 	155370 	154483 
A,DE1001V,IT068C	163928 	172525 	171655 	171345 	171491 	171944 	170887 b	171084 	170601 	169908 
A,DE1001V,IT069C	154288 	158784 	158911 	159116 	159057 	159115 	158923 b	158247 	156463 	155836 
A,DE1001V,IT070C	131842 	133423 	133682 	133155 	132009 	132278 	132931 b	132899 	131669 	129872 
A,DE1001V,IT071C	143731 	146856 	147578 	147750 	148908 	149403 	148981 b	149335 	150240 	149169 
A,DE1001V,IT072C	118644 	122304 	122503 	122291 	122031 	121605 	119710 b	119056 	117053 	117055 
A,DE1001V,IT073C	115072 	118717 	119002 	119381 	120287 	120923 	120569 b	120783 	119993 	119476 
A,DE1001V,IT074C	116029 	118359 	118255 	117913 	117946 	117863 	118360 b	118292 	117407 	116558 
A,DE1001V,IT075C	119426 	125375 	125496 	125985 	126151 	126470 	126952 b	127037 	127560 	127861 
A,DE1001V,IT076C	113639 	113655 	113599 	112953 	112198 	111620 	109837 b	109855 	111113 	110293 
A,DE1001V,IT077C	109382 	112227 	112133 	111501 	111455 	111189 	110554 b	110003 	107982 	107165 
A,DE1001V,IT078C	101933 	104736 	104452 	104380 	104284 	104183 	103278 b	103287 	102225 	101367 
A,DE1001V,IT079C	89446 	93805 	93963 	93943 	93839 	93980 	93191 b	92876 	91089 	90825 
A,DE1001V,IT080C	98352 	99232 	99434 	99543 	99469 	99419 	98483 b	98259 	97373 	96717 
A,DE1001V,IT081C	79216 	81536 	81837 	82087 	82143 	82036 	81893 b	81912 	81643 	81503 
A,DE1001V,IT082C	88611 	89165 	88667 	88302 	87820 	87141 	85397 b	84465 	83690 	83317 
A,DE1001V,IT083C	68967 	69293 	69182 	68759 	68528 	67923 	66289 b	65841 	65378 	56293 
A,DE1001V,IT084C	69816 	72812 	73030 	73313 	73500 	73638 	71374 b	71438 	72579 	72779 
A,DE1001V,IT085C	100432 	100333 	100518 	100440 	100331 	99857 	98712 b	98414 	97489 	97588 
A,DE1001V,IT086C	55786 	55680 	56221 	56217 	56076 	56031 	55610 b	55405 	54848 	55035 
A,DE1001V,IT087C	68304 	70967 	70230 	69753 	69605 	69439 	69925 b	70019 	69349 	69210 
A,DE1001V,LT	2971905 e	2943472 	2921262 	2888558 	2847904 	2808901 e	: 	: 	: 	: 
A,DE1001V,LT001C	537152 e	539707 	542626 	543493 	545280 	547484 e	552131 e	561836 e	556490 	: 
A,DE1001V,LT002C	306888 e	304012 	301357 	297846 	292691 	288363 e	286754 e	289364 e	298753 	: 
A,DE1001V,LT003C	97343 e	96328 	95202 	93598 	91054 	88678 e	87139 e	85885 e	89100 	: 
A,DE1001V,LT004C	57281 e	56357 	55614 	54431 	52792 	51534 e	50422 e	49895 e	52727 	: 
A,DE1001V,LT005C	158541 e	157305 	156141 	154326 	151309 	148908 e	147892 e	149116 e	152008 	: 
A,DE1001V,LT006C	106470 e	105610 	104569 	102981 	101214 	100575 e	100131 e	101511 e	100653 	: 
A,DE1001V,LU001C	103641 	107247 	111287 	115227 	: 	: 	: 	: 	: 	: 
A,DE1001V,LV	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	: 	1907675 	1893223 	: 
A,DE1001V,LV001C	643615 	643368 	641007 	639342 	641201 	632479 	626147 	621120 	614618 	: 
A,DE1001V,LV002C	73469 	71926 	71125 	70610 	69406 	68912 	68569 	68313 	67964 	: 
A,DE1001V,LV003C	57773 	57332 	57180 	57028 	56702 	55960 	55415 	55517 	55336 	: 
A,DE1001V,LV004C	89184 	87403 	86435 	85540 	84288 	82879 	82029 	81587 	80627 	: 
A,DE1001V,MT	: 	: 	439691 r	450415 r	460297 	475701 	: 	: 	: 	: 
A,DE1001V,MT001C	201559 	: 	212885 r	218960 r	224437 	233246 	243083 	255266 	256507 	: 
A,DE1001V,NL	16779575 	16829289 	16900726 b	16979120 b	: 	: 	17282163 	17407585 	17475415 	: 
