A,DE1001V,DE123C	110998 
A,DE1001V,DE124C	353590 
A,DE1001V,DE125C	111099 
A,DE1001V,DE126C	90502 
A,DE1001V,DE127C	71036 
A,DE1001V,EE	1319133 
A,DE1001V,EE001C	430805 
A,DE1001V,EE002C	96506 b
A,DE1001V,EE003C	56103 
A,DE1001V,ES	46658447 
A,DE1001V,ES001C	4955432 
A,DE1001V,ES002C	3665687 
A,DE1001V,ES003C	1393606 
A,DE1001V,ES004C	879870 
A,DE1001V,ES005C	666880 
A,DE1001V,ES006C	571026 
A,DE1001V,ES007C	447182 
A,DE1001V,ES008C	378517 
A,DE1001V,ES009C	298866 
A,DE1001V,ES010C	409661 
A,DE1001V,ES011C	96405 
A,DE1001V,ES012C	249176 
A,DE1001V,ES013C	220020 
A,DE1001V,ES014C	326136 
A,DE1001V,ES015C	172044 
A,DE1001V,ES016C	84282 
A,DE1001V,ES017C	150530 
A,DE1001V,ES018C	151113 
A,DE1001V,ES019C	791054 
A,DE1001V,ES020C	325708 
A,DE1001V,ES021C	331577 
A,DE1001V,ES022C	293642 
A,DE1001V,ES023C	271843 
A,DE1001V,ES024C	360405 
A,DE1001V,ES025C	244850 
A,DE1001V,ES026C	103477 
A,DE1001V,ES027C	102424 
A,DE1001V,ES028C	98025 
A,DE1001V,ES029C	95174 
A,DE1001V,ES030C	100266 
A,DE1001V,ES031C	96068 
A,DE1001V,ES032C	82599 
A,DE1001V,ES033C	88364 
A,DE1001V,ES034C	78715 
A,DE1001V,ES035C	83009 
A,DE1001V,ES036C	78629 
A,DE1001V,ES037C	66799 
A,DE1001V,ES038C	82802 
A,DE1001V,ES039C	85144 
A,DE1001V,ES040C	73829 
A,DE1001V,ES041C	84910 
A,DE1001V,ES042C	76250 
A,DE1001V,ES043C	74743 
A,DE1001V,ES044C	67558 
A,DE1001V,ES045C	86384 
A,DE1001V,ES046C	65239 
A,DE1001V,ES047C	61827 
A,DE1001V,ES048C	75396 
A,DE1001V,ES049C	68037 
A,DE1001V,ES050C	66274 
A,DE1001V,ES051C	62940 
A,DE1001V,ES052C	68262 
A,DE1001V,ES053C	61983 
A,DE1001V,ES054C	60981 
A,DE1001V,ES055C	61351 
A,DE1001V,ES056C	86883 
A,DE1001V,ES057C	71863 
A,DE1001V,ES058C	51133 
A,DE1001V,ES059C	399456 
A,DE1001V,ES060C	230625 
A,DE1001V,ES061C	213943 
A,DE1001V,ES062C	212879 
A,DE1001V,ES063C	186665 
A,DE1001V,ES064C	193751 
A,DE1001V,ES065C	196851 
A,DE1001V,ES066C	175921 
A,DE1001V,ES067C	143978 
A,DE1001V,ES068C	173050 
A,DE1001V,ES069C	170888 
A,DE1001V,ES070C	144258 
A,DE1001V,ES071C	116979 
