population,CODE,country_ISO_A2,NAME,longitude,latitude,mercantor_x,mercantor_y,social_timezone,utc_sun_timezone_offset,longitudinal_diff,longitudinal_diff_km
1205492,BE001C,BE,Bruxelles/Brussel,4.351697,50.8465573,484428.6941266162,6594196.236452866,Europe/Brussels,1.0,10.648303,851.86424
523591,BE002C,BE,Antwerpen,4.3997081,51.2211097,489773.2653310411,6660499.058549562,Europe/Brussels,1.0,10.6002919,848.023352
383710,BE005C,BE,Liège,5.5736112,50.6450944,620451.5606636865,6558753.5223020995,Europe/Brussels,1.0,9.4263888,754.111104
1238438,BG001C,BG,Sofia,23.3217359,42.6977028,2596163.7648032075,5266071.740457754,Europe/Sofia,2.0,6.6782641,534.261128
345213,BG002C,BG,Plovdiv,24.7499297,42.1418541,2755149.571373318,5182252.241916576,Europe/Sofia,2.0,5.250070300000001,420.00562400000007
335854,BG003C,BG,Varna,27.9166653,43.2073873,3107668.96584225,5343591.771584749,Europe/Sofia,2.0,2.0833347000000018,166.66677600000014
677118,CH002C,CH,Zürich,8.5410422,47.3744489,950784.4685478611,6003409.281270206,Europe/Zurich,1.0,6.4589578,516.716624
407605,CH003C,CH,Genève,6.1466014,46.2017559,684236.5379572224,5812739.902589626,Europe/Zurich,1.0,8.8533986,708.271888
342698,CH004C,CH,Basel,7.5878261,47.5581077,844672.9376799109,6033652.043487096,Europe/Zurich,1.0,7.4121739,592.973912
3613495,DE001C,DE,Berlin,13.3888599,52.5170365,1490441.0663704798,6894157.660591816,Europe/Berlin,1.0,1.6111401,128.891208
1830584,DE002C,DE,Hamburg,10.000654,53.550341,1113267.7108797147,7085452.058364173,Europe/Berlin,1.0,4.999345999999999,399.94767999999993
1456039,DE003C,DE,München,11.5753822,48.1371079,1288565.652241523,6129695.090390115,Europe/Berlin,1.0,3.4246178,273.969424
430805,EE001C,EE,Tallinn,24.7453688,59.4372155,2754641.854307759,8275492.056041921,Europe/Tallinn,2.0,5.254631199999999,420.3704959999999
96506,EE002C,EE,Tartu,26.72245,58.3801207,2974729.526748713,8047596.542343757,Europe/Tallinn,2.0,3.2775500000000015,262.2040000000001
56103,EE003C,EE,Narva,28.1921457,59.3766729,3138335.3036937774,8262249.606960235,Europe/Tallinn,2.0,1.807854299999999,144.6283439999999
4955432,ES001C,ES,Madrid,-3.7035825,40.4167047,-412280.91801087913,4926682.735486276,Europe/Madrid,1.0,18.7035825,1496.2866
3665687,ES002C,ES,Barcelona,2.1774322,41.3828939,242390.64374087742,5068983.531590666,Europe/Madrid,1.0,12.8225678,1025.805424
1393606,ES003C,ES,Valencia,-0.3763353,39.4697065,-41893.453963533844,4789178.077221359,Europe/Madrid,1.0,15.3763353,1230.106824
643272,FI001C,FI,Helsinki/Helsingfors,24.9427473,60.1674881,2776613.9284212994,8437122.0442501,Europe/Helsinki,2.0,5.057252699999999,404.58021599999995
