social_timezone,utc_sun_timezone_offset,mean_longitudinal_diff_km,mercantor_x,mercantor_y,iso_a2,pop_est,name,pop_norm,dst,pop_percent,weights,weighted_mean_longdiff,norm_weighted_mean_longdiff
CET,1,-29.2528213333334,1822578.830554733,6141587.728347871,AT,8877067.0,Austria,0.10007127006548296,False,0.019858793211743463,0.10007127006548296,-2.927366983825328,0.0017602782011520842
CET,1,817.9995653333334,484428.6941266162,6594196.236452866,BE,11484055.0,Belgium,0.1316661831665285,False,0.02569085864478533,0.1316661831665285,107.70288059931937,0.06476367123350053
EET,2,373.6445093333334,2596163.7648032075,5266071.740457754,BG,6975761.0,Bulgaria,0.07702874058376057,False,0.015605401558143562,0.07702874058376057,28.781365979983843,0.017306750883601806
EET,2,-269.10854400000005,3714047.5498756976,4187674.503422902,CY,1198575.0,Cyprus,0.007013194045542186,False,0.0026813195252176673,0.007013194045542186,-1.8873104383853276,0.001134873571319443
CET,1,-115.05600266666663,1605366.5962207143,6461437.108916923,CZ,10669709.0,Czechia,0.1217968661216537,False,0.023869093773932103,0.1217968661216537,-14.013460553284627,0.008426544833957666
CET,1,267.60277066666663,1490441.0663704798,6894157.660591816,DE,83132799.0,Germany,1.0,False,0.18597551020561565,1.0,267.60277066666663,0.16091433919121528
CET,1,327.8665786666666,1399294.0588025823,7496302.428060968,DK,5818553.0,Denmark,0.06300417039017521,False,0.013016623713504647,0.06300417039017521,20.656961787558448,0.012421401121753033
EET,2,275.73427999999996,2754641.854307759,8275492.056041921,EE,1326590.0,Estonia,0.008564648367783156,False,0.0029677005351842855,0.008564648367783156,2.361567151143863,0.0014200526273898206
EET,2,368.69156000000004,2826552.764810986,4207060.853774764,EL,10716322.0,Greece,0.12236178382913034,False,0.023973371225930493,0.12236178382913034,45.113756964344844,0.027127710121481546
CET,1,1250.7329493333334,-412280.91801087913,4926682.735486276,ES,47076781.0,Spain,0.5630257003562218,False,0.10531497159518269,0.5630257003562218,704.1947947570029,0.4234449433311919
EET,2,443.73262133333327,2776613.9284212994,8437122.0442501,FI,5520314.0,Finland,0.05938971750878768,False,0.012349436383649284,0.05938971750878768,26.353155030420517,0.01584662414652641
CET,1,865.323856,261421.74596325192,6250039.040108086,FR,67059887.0,France,0.805207289822296,False,0.15001896783429525,0.805207289822296,696.7650769083386,0.4189773209107791
CET,1,-49.18414337583007,1776907.479898766,5755168.145297948,HR,4067500.0,Croatia,0.0417826045945808,False,0.009099361465759641,0.0417826045945808,-2.055041614995478,0.0012357333321460875
CET,1,-438.83151999999995,2119541.0160099976,6023724.750456663,HU,9769949.0,Hungary,0.1108923897635743,False,0.02185625014211111,0.1108923897635743,-48.663075956381746,0.029261979205316525
WET,0,500.844744,-696922.2733570932,7047886.974036734,IE,4941444.0,Ireland,0.052374208673763425,False,0.011054452395527764,0.052374208673763425,26.23134713541362,0.01577337887748649
CET,1,242.097744,1022985.4442482484,5694897.822928025,IT,60297396.0,Italy,0.723250519982311,False,0.13489067034985852,0.723250519982311,175.09731923454441,0.10528915432597061
EET,2,524.7349413333333,2814480.789423604,7301363.458578539,LT,2786844.0,Lithuania,0.026261928997941084,False,0.006234419398815847,0.026261928997941084,13.780551772034778,0.008286492612027069
CET,1,709.61608,682366.1033451175,6379226.017344054,LU,619896.0,Luxembourg,0.0,False,0.0013867628211871022,0.0,0.0,0.0
EET,2,489.9144373333332,2683376.87514986,7749783.027220631,LV,1912789.0,Latvia,0.01566897967460919,False,0.004279080152115284,0.01566897967460919,7.676459360873596,0.00461599251123546
CET,1,835.15868,498460.8498995808,6786475.184192568,NL,17332850.0,Netherlands,0.20254958185145905,False,0.03877513641838771,0.20254958185145905,169.1610414136165,0.10171956414411129
CET,1,-410.68193066666663,2338457.9191023805,6842175.610015434,PL,37970874.0,Poland,0.4526683299459237,False,0.08494424282650637,0.4526683299459237,-185.90270369384763,0.1117866255428947
WET,0,723.612808,-1017080.7578939479,4679895.405438774,PT,10269417.0,Portugal,0.11694560061715438,False,0.022973604751227283,0.11694560061715438,84.6233344458256,0.05088552674018864
EET,2,402.3416,2905741.5209832964,5533186.02091626,RO,19356544.0,Romania,0.2270753702605761,False,0.04330232097944216,0.2270753702605761,91.36186779123261,0.054937527538583976
CET,1,52.312874666666666,2011664.926497636,8250991.480498332,SE,10285453.0,Sweden,0.11713994597911552,False,0.023009478718151663,0.11713994597911552,6.127927312465574,0.003684832453866762
CET,1,-6.100572,1614903.9381222243,5788369.677457456,SI,2087946.0,Slovenia,0.017791762822839962,False,0.004670922034415975,0.017791762822839962,-0.10853993010765843,6.526700409574689e-05
CET,1,-389.285224,1904599.2651421477,6132129.317628115,SK,5454073.0,Slovakia,0.0585869218539069,False,0.012201249339309179,0.0585869218539069,-22.807022997368644,0.01371427143821261
CET,1,1170.7471786666665,1822578.830554733,6141587.728347871,AT,8877067.0,Austria,0.10007127006548296,True,0.019858793211743463,0.10007127006548296,117.15815709475422,0.07044929834917915
CET,1,2017.9995653333333,484428.6941266162,6594196.236452866,BE,11484055.0,Belgium,0.1316661831665285,True,0.02569085864478533,0.1316661831665285,265.70230039915356,0.15977155237892796
EET,2,1573.6445093333334,2596163.7648032075,5266071.740457754,BG,6975761.0,Bulgaria,0.07702874058376057,True,0.015605401558143562,0.07702874058376057,121.21585468049652,0.07288926458727478
EET,2,930.891456,3714047.5498756976,4187674.503422902,CY,1198575.0,Cyprus,0.007013194045542186,True,0.0026813195252176673,0.007013194045542186,6.528522416265296,0.003925717465074152
